basin,year,storm_name,peak_wind,duration_h,integrated_intensity,ace,ri_events,is_cat4plus,max_24h_delta,decade,n_timesteps
EP,2000,BUD,23.15,102,1936.4249999999997,5232.343124999999,0,False,7.724999999999998,2000,18
EP,2000,CARLOTTA,69.45,156,6196.575,47772.6125,5,True,36.0,2000,27
EP,2000,DANIEL,56.6,318,10232.7,63736.13875,6,True,25.725,2000,54
EP,2000,EMILIA,28.299999999999997,90,1898.1,6351.759999999999,0,False,10.3,2000,16
EP,2000,FABIO,23.15,108,1797.225,3214.50625,0,False,7.724999999999998,2000,19
EP,2000,GILMA,36.0,144,3248.3250000000003,11507.365625,0,False,12.875,2000,25
EP,2000,HECTOR,36.0,144,3426.0,13724.635624999999,0,False,10.3,2000,25
EP,2000,JOHN,30.875,102,2415.3749999999995,9404.230624999998,0,False,12.874999999999996,2000,18
EP,2000,LANE,43.725,216,5972.400000000001,29792.207500000004,0,False,10.300000000000004,2000,37
EP,2000,OLIVIA,28.299999999999997,186,4143.75,14948.34125,0,False,12.874999999999996,2000,32
EP,2000,PAUL,20.575,90,1480.95,2043.330625,0,False,5.149999999999999,2000,16
EP,2000,ROSA,28.299999999999997,114,2422.8000000000006,7557.24625,0,False,12.874999999999996,2000,20
EP,2001,ADOLPH,64.3,168,6489.525,49033.401874999996,7,True,28.300000000000004,2000,29
EP,2001,BARBARA,25.725,150,2429.6249999999995,3764.204375,0,False,10.3,2000,26
EP,2001,DALILA,33.45,180,4669.124999999999,20299.45,0,False,12.874999999999996,2000,31
EP,2001,FLOSSIE,46.3,162,4822.724999999999,25572.034374999996,1,False,15.450000000000003,2000,28
EP,2001,GIL,43.725,132,3850.4250000000006,19941.339375,0,False,12.874999999999996,2000,23
EP,2001,HENRIETTE,28.299999999999997,96,2044.725,6973.751874999999,0,False,7.725000000000001,2000,17
EP,2001,IVO,23.15,108,1936.3499999999997,4934.351249999999,0,False,5.150000000000002,2000,19
EP,2001,JULIETTE,64.3,282,9575.624999999998,65631.16625000001,5,True,30.875,2000,48
EP,2001,KIKO,33.45,96,2168.325,7828.9731249999995,1,False,15.450000000000003,2000,17
EP,2001,MANUEL,25.725,180,3263.1750000000006,6654.710624999999,0,False,7.725000000000001,2000,31
EP,2001,NARDA,38.575,114,2739.0750000000003,10903.465,2,False,18.000000000000004,2000,20
EP,2001,OCTAVE,38.575,90,2299.5000000000005,10222.826250000002,0,False,12.875000000000004,2000,16
EP,2002,ALIKA,28.299999999999997,156,2753.925,5267.168125,0,False,12.874999999999996,2000,27
EP,2002,ALMA,51.45,186,5223.675,27344.923749999998,0,True,12.875,2000,32
EP,2002,CRISTINA,28.299999999999997,174,3077.9249999999997,6510.123124999999,0,False,5.150000000000002,2000,30
EP,2002,DOUGLAS,46.3,156,4575.675000000001,24685.074374999997,2,False,15.425000000000004,2000,27
EP,2002,ELE,56.6,90,2909.1000000000004,19169.80125,4,True,18.025000000000002,2000,16
EP,2002,ELIDA,72.025,204,6736.8,48022.646875000006,5,True,38.6,2000,35
EP,2002,FAUSTO,64.3,300,8162.849999999999,45954.53749999999,9,True,20.6,2000,51
EP,2002,GENEVIEVE,30.875,150,3055.5750000000003,9536.843125000001,1,False,15.45,2000,26
EP,2002,HERNAN,72.025,180,6821.325000000001,52991.051250000004,7,True,33.425,2000,31
EP,2002,HUKO,38.575,252,6860.475,34072.75812500001,0,False,7.725000000000001,2000,43
EP,2002,ISELLE,30.875,126,2569.3499999999995,8343.846249999999,0,False,10.3,2000,22
EP,2002,KENNA,74.6,96,4143.825,37456.571874999994,7,True,33.45,2000,17
EP,2002,LOWELL,23.15,198,3324.525,5231.82875,0,False,7.724999999999998,2000,34
EP,2003,ANDRES,25.725,162,3341.1,10910.609375,0,False,12.875000000000004,2000,28
EP,2003,BLANCA,25.725,180,2878.200000000001,5808.563749999998,0,False,10.3,2000,31
EP,2003,ENRIQUE,28.299999999999997,132,2322.750000000001,5684.51125,0,False,12.874999999999996,2000,23
EP,2003,FELICIA,23.15,162,2491.8000000000006,3201.245,0,False,7.725000000000001,2000,28
EP,2003,GUILLERMO,25.725,138,2653.9500000000003,7032.784374999999,0,False,10.3,2000,24
EP,2003,HILDA,18.0,102,1619.6999999999998,2268.0,0,False,5.150000000000002,2000,18
EP,2003,IGNACIO,46.3,126,3503.0249999999996,17743.96125,3,False,23.15,2000,22
EP,2003,JIMENA,46.3,192,5046.0,24558.578125,4,False,18.000000000000004,2000,33
EP,2003,KEVIN,18.0,162,1983.1499999999999,324.0,0,False,2.5749999999999993,2000,28
EP,2003,LINDA,33.45,228,3680.4000000000015,7359.3568749999995,1,False,15.450000000000003,2000,39
EP,2003,MARTY,43.725,174,3943.3500000000013,16171.27625,0,False,12.875000000000004,2000,30
EP,2003,NORA,46.3,180,4752.9000000000015,23296.374374999996,2,False,18.0,2000,31
EP,2003,OLAF,33.45,114,2708.6249999999995,10707.246875,0,False,7.725000000000001,2000,20
EP,2003,PATRICIA,36.0,144,3163.7250000000004,11916.920625,2,False,18.025000000000002,2000,25
EP,2004,AGATHA,25.725,96,1512.0749999999998,2804.9512499999996,0,False,12.875000000000004,2000,17
EP,2004,BLAS,28.299999999999997,162,2338.35,4267.616875,0,False,12.874999999999996,2000,28
EP,2004,CELIA,38.575,174,3819.225,13444.4775,0,False,12.850000000000001,2000,30
EP,2004,DARBY,54.025000000000006,138,4151.400000000001,23900.40375,6,True,18.025000000000006,2000,24
EP,2004,ESTELLE,30.875,156,2808.675,6802.899375,0,False,12.875,2000,27
EP,2004,FRANK,38.575,102,2399.475,9785.720000000003,2,False,23.150000000000002,2000,18
EP,2004,GEORGETTE,28.299999999999997,192,3048.9,7734.858125,0,False,12.874999999999996,2000,33
EP,2004,HOWARD,61.725,258,6212.4,33045.340000000004,4,True,25.725,2000,44
EP,2004,ISIS,33.45,306,5708.85,12908.42625,1,False,15.450000000000003,2000,52
EP,2004,JAVIER,66.875,222,8935.725,71435.028125,6,True,28.299999999999997,2000,38
EP,2005,BEATRIZ,23.15,108,1597.4999999999998,2566.50625,0,False,7.725000000000001,2000,19
EP,2005,CALVIN,23.15,174,2399.7000000000007,2890.50625,0,False,10.3,2000,30
EP,2005,FERNANDA,38.575,192,5023.95,23979.4575,1,False,15.45,2000,33
EP,2005,GREG,23.15,108,1990.35,5132.498124999999,0,False,10.3,2000,19
EP,2005,HILARY,46.3,198,5339.1,26642.07875,3,False,18.025000000000002,2000,34
EP,2005,IRWIN,23.15,198,2654.9249999999997,3313.836875,0,False,10.3,2000,34
EP,2005,JOVA,56.6,312,10355.325000000003,66090.66500000001,0,True,12.875000000000004,2000,53
EP,2005,KENNETH,59.15,384,12216.075,73915.838125,5,True,18.025000000000002,2000,65
EP,2005,MAX,36.0,120,2809.275,11747.096875000001,1,False,15.450000000000003,2000,21
EP,2005,NORMA,25.725,192,2971.2,6218.6331249999985,0,False,7.724999999999998,2000,33
EP,2005,OTIS,46.3,180,4189.950000000001,17934.963125,3,False,15.450000000000003,2000,31
EP,2006,ALETTA,20.575,90,1527.2999999999997,2989.3225,0,False,7.725000000000001,2000,16
EP,2006,BUD,56.6,156,4244.175000000001,23767.148125,5,True,23.150000000000002,2000,27
EP,2006,CARLOTTA,38.575,192,4250.925000000001,15958.45375,3,False,15.450000000000003,2000,33
EP,2006,DANIEL,66.875,282,10323.600000000004,78261.1775,1,True,15.424999999999997,2000,48
EP,2006,EMILIA,28.299999999999997,240,4229.174999999999,12109.079375,0,False,10.299999999999997,2000,41
EP,2006,FABIO,23.15,120,1951.4249999999995,3426.42875,0,False,7.724999999999998,2000,21
EP,2006,GILMA,18.0,96,1326.975,972.0,0,False,2.5749999999999993,2000,17
EP,2006,HECTOR,48.875,204,5887.275000000001,31670.286874999998,1,False,15.424999999999997,2000,35
EP,2006,ILEANA,54.025000000000006,186,5509.425000000001,31944.843125,6,True,23.150000000000006,2000,32
EP,2006,IOKE,72.025,270,10377.525,90540.13687500003,10,True,28.300000000000004,2000,46
EP,2006,JOHN,59.15,180,6713.400000000001,48321.925,6,True,28.3,2000,31
EP,2006,KRISTY,36.0,246,4644.825,12558.933125,2,False,15.450000000000003,2000,42
EP,2006,LANE,56.6,90,2878.425,17993.666875,5,True,23.150000000000006,2000,16
EP,2006,MIRIAM,20.575,126,1874.3999999999994,2565.991875,0,False,7.725000000000001,2000,22
EP,2006,NORMAN,23.15,162,2498.8500000000004,2030.58375,0,False,7.724999999999998,2000,28
EP,2006,OLIVIA,20.575,120,1774.1249999999998,1917.9918750000002,0,False,5.149999999999999,2000,21
EP,2006,PAUL,46.3,120,3233.0249999999996,16043.236250000002,3,False,23.15,2000,21
EP,2006,SERGIO,48.875,168,4398.0,21177.40625,6,False,23.15,2000,29
EP,2007,ALVIN,18.0,252,3516.375,1620.0,0,False,5.150000000000002,2000,43
EP,2007,BARBARA,23.15,96,1859.3249999999998,5245.604374999999,0,False,7.724999999999998,2000,17
EP,2007,COSME,33.45,246,4227.15,7319.05875,3,False,15.450000000000003,2000,42
EP,2007,DALILA,25.725,198,3340.2000000000003,6357.747499999999,0,False,7.725000000000001,2000,34
EP,2007,FLOSSIE,61.725,186,7831.874999999998,63097.498750000006,5,True,23.15,2000,32
EP,2007,GIL,20.575,108,1743.3749999999998,3313.3225,0,False,5.149999999999999,2000,19
EP,2007,HENRIETTE,38.575,168,4452.825,19874.705,0,False,7.724999999999998,2000,29
EP,2007,IVO,36.0,162,3626.7749999999996,14478.725625000001,2,False,15.45,2000,28
EP,2007,JULIETTE,25.725,144,2383.425,4538.0575,0,False,7.725000000000001,2000,25
EP,2007,KIKO,30.875,294,5100.3,11961.92,0,False,7.725000000000001,2000,50
EP,2008,BORIS,36.0,216,4970.475,20318.441875,0,False,10.3,2000,37
EP,2008,CRISTINA,23.15,126,1975.5749999999996,3625.0899999999997,0,False,7.724999999999998,2000,22
EP,2008,DOUGLAS,18.0,108,1489.35,1620.0,0,False,5.150000000000002,2000,19
EP,2008,ELIDA,46.3,240,6380.925000000001,30301.608124999995,0,False,12.849999999999994,2000,41
EP,2008,FAUSTO,41.15,192,5354.775,26779.52125,0,False,10.3,2000,33
EP,2008,GENEVIEVE,33.45,234,4599.5250000000015,15023.207500000002,0,False,10.300000000000004,2000,40
EP,2008,HERNAN,54.025000000000006,240,6334.799999999999,32467.11875,3,True,20.575000000000003,2000,41
EP,2008,ISELLE,23.15,240,3501.675,3723.90625,0,False,7.724999999999998,2000,41
EP,2008,JULIO,23.15,90,1573.725,3637.836875,0,False,7.724999999999998,2000,16
EP,2008,KIKA,18.0,228,3355.4999999999995,4212.0,0,False,5.150000000000002,2000,39
EP,2008,LOWELL,23.15,120,2275.875,5755.004374999999,0,False,10.3,2000,21
EP,2008,MARIE,36.0,438,6804.975,13351.7775,0,False,12.850000000000001,2000,74
